page,file,bytes,sha256,width_px,height_px,ink_left_px,ink_top_px,ink_right_px,ink_bottom_px,outer_5px_ink
1,page-001.png,39000,91299670a769fb310d6e38e4b08bed865d0ec58a8f2869cc2306cee6ecdebd10,935,1210,138,123,293,652,0
2,page-002.png,152062,e01d9b86ec924d162f6de7baebbc5d4e6f0f59d3f293c7e78ac26808f944d7fc,935,1210,110,134,110,700,0
3,page-003.png,173392,af42ed6014884a09c513042e9d0c0f4503c94cdf97d0ee78b48a28d0a187ebe4,935,1210,110,225,110,61,0
4,page-004.png,174782,b12bb3032646f224050280fcea19ae3061042489ea377f751a7e47f98be1b8b8,935,1210,110,74,110,168,0
5,page-005.png,301900,f3fc5c61b281fbedf0656d8437c837a745bc15a70e25de350247c08d07ff2f81,935,1210,110,175,110,61,0
6,page-006.png,337437,c8334151f7524228771ca82f689459c05965fd4f9661b907904a9891895ea0eb,935,1210,109,74,109,84,0
7,page-007.png,303506,09f4b1ae521fd8db634172a9c1fc7f252105da13ca4db3a3b8a524c586dad05b,935,1210,110,74,109,83,0
8,page-008.png,295720,d3f9ad4882c642e0e9ab1327b6df2d5487009426b4cfef130ad14b5f586fcbaa,935,1210,110,74,109,84,0
9,page-009.png,301316,c8f569533300b34b95fd1bff1b9e59f772966b6a33eec485c57aac6fdec5e9c4,935,1210,110,74,109,84,0
10,page-010.png,276128,f32b9a60bd4d59100d8b30c5d6e3795616abaf4cbc715dfd2bf506e8104d13c5,935,1210,110,74,109,95,0
11,page-011.png,248215,984847437f7002a37a29ce4a13968bc1de32b6205f1e849ee244cd6008cc2b01,935,1210,109,74,109,84,0
12,page-012.png,246468,296731a3374e18ffc0c089f12ba28b7ed4c81009ff4cb9e67880cc46bc5aa55a,935,1210,110,74,110,84,0
13,page-013.png,252618,39bbede9d78471d27b9fef6ba0862d4e07f56ae2aa154a329d3bfce6c8f52709,935,1210,109,74,109,84,0
14,page-014.png,261700,0e8f9a327d5c846f4b02c5a177aeaf0e442fdc16c9675351895af383333e1216,935,1210,110,74,109,87,0
15,page-015.png,274163,359b891d7abb7b7b404c196240bdf5b46fd89d205ee47db9c8332c37bf893c95,935,1210,110,74,109,87,0
16,page-016.png,257335,5db498307d031609030291d5522324e5cc82d8092a816972d3665119545a6027,935,1210,109,74,109,84,0
17,page-017.png,323751,fd7e84191556103b6b10660f6854ee08ec3dbb1a1ee0b883b2f7202c54dfad23,935,1210,110,74,109,84,0
18,page-018.png,320275,1d952f1f2fecab915d8b169deddbb598f71c3c6718e6d8ca12ebcaa2d6656ce7,935,1210,109,74,109,84,0
19,page-019.png,181827,f7ce20c730cb502afad22a81260afc021b4473f806bf66bd588b65539d94eb39,935,1210,109,74,109,456,0
20,page-020.png,5069,a661ea84d1a7854b4f3122f407cfa8848d51cc4c6c1a7a02d489a13a70e2fca4,935,1210,,,,,0
21,page-021.png,280083,1c585dcd7e5280583085b3ca47ec62915b2149648c80477a2207d70b815138cc,935,1210,110,175,110,60,0
22,page-022.png,325519,b4f09fbbe6c4792fed3e1c1a887d732db3f7e996713b5bc7a32d6ef606337985,935,1210,110,74,110,84,0
23,page-023.png,354119,0d3f18cf7320a9d5278426484b90205dff68758ef1dac8a07ffe2c8fa64e1617,935,1210,110,74,110,84,0
24,page-024.png,337096,4ba38a1c2833b38438989d0e346c02a24627b9e92a7fa0024f3eeab9931eff29,935,1210,109,74,109,84,0
25,page-025.png,328348,c3bdbb515b6e06f82a8d35fa81349ec31d582ad7a307348bb6cba5399d3115c8,935,1210,110,74,110,84,0
26,page-026.png,321529,533095de85bb05b774696d1da5e309d02a41819305b80df715eea4828cd4ff37,935,1210,109,74,110,95,0
27,page-027.png,255478,a45b25d33a7c3ebb96216648826a06534d7d9feb0d07dc3464ecf41a55a8fbd6,935,1210,110,175,110,60,0
28,page-028.png,290435,2ef9bfad0940edcb99aa90958d87d1ac60dc36c6d1e570e7005da2f71b74aa5c,935,1210,110,74,109,84,0
29,page-029.png,317391,e124e6e25631a4659518b9a1690532dbf517065bed627217388bf9676bbb0431,935,1210,110,74,109,84,0
30,page-030.png,300853,4c55107ebbcbdd94156f857a36f2badf289c79609d1421ad3f6a0d6a39a5d220,935,1210,109,74,109,84,0
31,page-031.png,322667,9db258011f0c8424d40deb78cd10446fc669a3f33f55aee509c545bcbcc88a0a,935,1210,110,74,109,84,0
32,page-032.png,312976,1d7ad7ed74fed5f964cf20849137b2148c41be04d200a1270f39dd361c68529e,935,1210,110,74,110,84,0
33,page-033.png,278046,73f63b7b7e59165eb0ccabab9aabcf0601710b2fd1b9bcd4fc12327a0f1f0d36,935,1210,109,74,109,84,0
34,page-034.png,327768,274ed5c1fb976cbceab7ac25f60d008ec7d5ed3b834b2ff85c381e19a5f117b8,935,1210,110,74,109,87,0
35,page-035.png,276008,e1b8ea63721d6368e26cb3c609eb99a53be8c39e1bc6e8d4b1b34d7ef61faacd,935,1210,109,74,110,87,0
36,page-036.png,202355,2843c2e79a7945ee5572b953999e906fd41103e53847067b08e38fb7bbcec8c6,935,1210,109,74,109,84,0
37,page-037.png,317191,0dd5e1c87bae842d27894fef79d5892f45f3a0cdfb02383fe7a15f531b5963b6,935,1210,110,74,109,84,0
38,page-038.png,294768,31a9412fdf2d089810626a8e72c23af37a24ac857a52b1059a71752d2c6b3a13,935,1210,109,74,110,84,0
39,page-039.png,265571,982adb5559379ce72cc8f40b62fa01225754b8f0526488a5510725fbe26d730c,935,1210,110,74,109,84,0
40,page-040.png,328521,86f7087cf0b940306a876e0869860de35ac8497495cc437ea5e555b82e4fc7c9,935,1210,110,74,109,84,0
41,page-041.png,308312,078b1164019bf6e6cb1c6ce080b93b85412647dfbe14ff0bbbc389a6251e7eb1,935,1210,109,74,110,84,0
42,page-042.png,280752,e48ce212544e224d3aa536f86cd9eee5460fd1a9ffea120fe39077a374ac773b,935,1210,110,74,109,84,0
43,page-043.png,300332,38efa86ecdef4f7745b7bad36012a958333112f3ec1b2cbd03e23c263ad75c4f,935,1210,109,74,110,84,0
44,page-044.png,283369,cbf9659188d569bea7542afbe456d8eb2e5ed722fa8ceacf04b9aef92e9a1e48,935,1210,110,74,109,84,0
45,page-045.png,320927,8c2b08e7224f7e5448652e04d285f6360ab2e8e8a3a7cb533898a66da5bc9dff,935,1210,109,74,109,84,0
46,page-046.png,355392,2b4e84b80fc3637640de803b0e637bfc1f948bdbb161b83f00aa71e2c81c5df5,935,1210,110,74,109,84,0
47,page-047.png,231250,143c41743f5f373ce4d3eb87ef4c961633f5d3db133ad831c1555921e2ad355b,935,1210,110,74,109,328,0
48,page-048.png,5069,a661ea84d1a7854b4f3122f407cfa8848d51cc4c6c1a7a02d489a13a70e2fca4,935,1210,,,,,0
49,page-049.png,269197,be5b0dd8f501165a5fe34b742830f4e6e129839c950134660012c0134bb5bda4,935,1210,109,175,109,60,0
50,page-050.png,259865,bfb8e8e0c33b625ac43571d430f4304766265d3a1bb9b7cbde9fbbe9e2344666,935,1210,109,74,110,83,0
51,page-051.png,257716,773f410aba3bdd871cafa8f9247a78dd18cfed7ad086db3ff713ad305760db94,935,1210,109,74,109,84,0
52,page-052.png,286922,be7f8d85d923f44dfe7519cc93301beeff136050c80e9693efb3b19b6dfeedcd,935,1210,110,74,109,87,0
53,page-053.png,243037,06e7850d3b54fa3ca8f1b578412521fd23f3d2f58bec196ab8e5aa9d8ac0861d,935,1210,110,74,109,83,0
54,page-054.png,281379,f652c271525e67bb9d7a65d95f63abda1c5fd1dc5ed3b08489f015e0c4fefbd8,935,1210,109,74,109,84,0
55,page-055.png,272181,562598f39fe0e29dbddaa937243c07f3a23af416db9da45a79d340294cc90c38,935,1210,110,74,109,81,0
56,page-056.png,308324,5abc21523b9dc52b86a6a5a6bc7ab1c8cf1bec5275688de40729d620857033c5,935,1210,110,74,109,84,0
57,page-057.png,296143,31412a012f949bb79ea2f768d3cfa03035e8d10691a712a4ddc9b8117f814662,935,1210,109,72,109,84,0
58,page-058.png,284545,029b20a96fc7250c9cbca46ac2423f42d59206d9ce78ec28e42e75566728d88f,935,1210,109,74,109,84,0
59,page-059.png,307409,0b8b7dbdeabe3810a43ecec1075b60768f72a47b2dffa3c6956ace75613c53ce,935,1210,109,74,110,84,0
60,page-060.png,233872,ced8cfea147f7c1245153c0cd0bb9b25bf84c5b4fc85640e8bd2fc4faa202317,935,1210,110,74,109,84,0
61,page-061.png,240706,720d8a611a030f9da59a8a77b30dc40e18b3ff57d1d5fe6dc44877f85c26764f,935,1210,110,74,110,84,0
62,page-062.png,237552,72326444a0548bf9df48fa74d45dced0ac7290f866670eacdbe51114f1288bc4,935,1210,110,74,110,84,0
63,page-063.png,240702,ac27e2848bb690cb5cdbe3961a2d8092316c9b4da966ff2252dd6cdf377df29b,935,1210,110,74,110,84,0
64,page-064.png,247694,bc0cd54f834c50677df0984ac572ec3dc883cc80ed7842242228c5960ba6e261,935,1210,110,74,109,184,0
65,page-065.png,255725,bee21b742fad27ccd2011951edfbbf13fbe0b9919ef19f146977a02b028d9e0a,935,1210,109,175,109,60,0
66,page-066.png,287328,15096a2ebef65cbd9290eafcc5d62480d641258210a2117d727e7def593dcda9,935,1210,110,74,109,84,0
67,page-067.png,262210,c1096f45f01d943c914de0b2907b95194ac8fb23120da7a3ffee17fa49caea19,935,1210,110,74,109,84,0
68,page-068.png,312233,a63c621f2c523877528ae36312622ff857631908ebf07b69e3b660c2683d6953,935,1210,110,74,110,83,0
69,page-069.png,241098,30a9cf5ebaacea262d77dec4c6c4b34f567a676cd97fcc0385705622ff00e003,935,1210,110,74,109,84,0
70,page-070.png,269134,3f1cb2f69b9ad24d93fb9cccb34ed94f21efeb51c57cc739b78e866c28df9260,935,1210,110,74,107,85,0
71,page-071.png,306180,052883e8a9fce32e83487a96fbdf8931e324e0a1425d1266d0ead4cc5c7ba760,935,1210,110,74,109,84,0
72,page-072.png,281172,64fc7b323048c01fde52ea85222222810b878639d8aae1443f0a2f6ebb1a18d7,935,1210,110,74,109,84,0
73,page-073.png,285840,82b0f11457bb3f4d2f348c2a9e7735319d6e413ac35d7770dd8c3fe571578493,935,1210,109,74,109,84,0
74,page-074.png,269733,b64cab03c4e172e854df1d9591d0d038bacecb181359345292c9f4f0baee6ee5,935,1210,109,74,109,84,0
75,page-075.png,275663,3a738e469cb645489b40d0ed59f8de489a1e51a2ce489096e8349edded2fc878,935,1210,109,74,109,84,0
76,page-076.png,259760,150146d975ff49fe3563a402387aaa43bc499881a1c91698e78c0b0c571ccb2f,935,1210,110,74,109,83,0
77,page-077.png,186418,e223644bf9ccb889d83cb73699177c882ee86cd9bed04ef766e049fc896ad95c,935,1210,110,74,109,602,0
78,page-078.png,5069,a661ea84d1a7854b4f3122f407cfa8848d51cc4c6c1a7a02d489a13a70e2fca4,935,1210,,,,,0
79,page-079.png,236624,dd81f7701a2a1ae8fbd7a843955c120183aec3f0478a6701c07e107bbc9c7bea,935,1210,109,175,110,60,0
80,page-080.png,283632,e135b15b2c8aeb3db97dfb511d8ace4f71958f9e3222bba3bc1c98c63ad3af7a,935,1210,110,74,109,84,0
81,page-081.png,282822,abb383c80b5ea0d63c9000c57b8e8016ba18367cc3c085e6e81d9e006af2d0d3,935,1210,110,74,109,84,0
82,page-082.png,305843,bc779810bc4ed34272e63621b22deaafcefca81367ccb17579a0c5df1324851e,935,1210,110,74,109,84,0
83,page-083.png,346198,247308b9eb2929a2aab464a976e4209016c6e5c06f24eb8e7f2d3de8a300a484,935,1210,109,74,110,84,0
84,page-084.png,343505,a8446f36f8d908f4791213e3173d5acd25c539a2f83ce0caac3a200d678e05ab,935,1210,110,74,109,84,0
85,page-085.png,305404,0661d51fe1a9683a8e9944ec19d682e25815c452663f8fdd8f5ddede4beb8ecf,935,1210,109,74,109,84,0
86,page-086.png,295068,8af6d46c9027e106ddd8291cfcb59c0e8d382d041a5b346b1622cf47cb49044e,935,1210,110,74,109,83,0
87,page-087.png,281614,ee7e02c06be6a32f1af9ba7d0f34917d9bd7ea9ec077b04330882751a538cb3d,935,1210,110,74,109,84,0
88,page-088.png,270684,7ac843f3bf170ce712768b38e3570cd0a5d1b438344c4fe8bf2e6f68f9b50ca0,935,1210,110,74,109,84,0
89,page-089.png,214399,059cda077c4205e1687454155a57a30ea4742c9cf9722eab6b0fdec4bf9b6155,935,1210,109,74,109,84,0
90,page-090.png,187019,9ad160c6f1792a77e5daaaeff11739a10d018ec4d07b4e4b1670e8e0106da987,935,1210,110,74,110,84,0
91,page-091.png,352408,ae2de12d186eea08c0d0816f6cf6b6e6d5d42edb9525096ee883e263308165ae,935,1210,110,74,110,81,0
92,page-092.png,274677,e2947b9d35f3d75a7cfe23f54cb3ab318e614fb19da51f1529bc6fae939b649e,935,1210,110,74,109,87,0
93,page-093.png,302245,9e0c16ef6a9d41f54087ddc61735a5195ee7c2a367e752267f7a15e679e2279c,935,1210,110,74,109,84,0
94,page-094.png,232855,53698652d37cd0dd4401adbd62d5fa292a673e0d8efd8bd09ac5c431f3560a5c,935,1210,109,74,109,83,0
95,page-095.png,257363,02aa6f76ec17c89e9934a0e37acca326bf5a025cebfc828a4b1814875c4baec3,935,1210,109,74,110,84,0
96,page-096.png,310457,42b3a7e2337ee2a962df1cd796ec4b09ba79a4b85bd91080884b010427db2367,935,1210,110,74,109,83,0
97,page-097.png,320951,5833ee61f4b35b6d8788d1229b6652893be163ae83eb763cc8d507885946ce88,935,1210,109,74,109,87,0
98,page-098.png,305386,1dad53a70889110caa3cdc21428721188117ba682b7f5507b22d68437794c6cf,935,1210,110,74,109,84,0
99,page-099.png,29902,67d2026791734f68824546e71bdc49b50305e41c60a53abb4e56600c023909d5,935,1210,110,74,110,1022,0
100,page-100.png,5069,a661ea84d1a7854b4f3122f407cfa8848d51cc4c6c1a7a02d489a13a70e2fca4,935,1210,,,,,0
101,page-101.png,255721,d63683701ef505da724c735380b4d4115092259564818e3d568a5e069ee0c8cb,935,1210,110,175,109,60,0
102,page-102.png,276048,89934a4e01b8169294c1546e12d16a5d40eec995507fe41314d90b9a63a2f9e2,935,1210,110,74,109,83,0
103,page-103.png,348686,8b2e250f6a5aa8b3534f62d6ce96a8ff1a45772c4ec2d49d7741df6b4d893da1,935,1210,109,74,110,86,0
104,page-104.png,278882,db2f06fc7c9806703b7ae5b60152b0e2f1535b0a76c04ebaaa104b24cddb77e9,935,1210,109,74,109,84,0
105,page-105.png,259551,62e08ebf6df652d9a72451eceeb6191ec3e8e46a5591b20ef179f6cb931e11b3,935,1210,109,74,109,84,0
106,page-106.png,133225,1e2312fe1d696163e94d6734bebdc81b2746e6a9150c670c389eb20fe698e7da,935,1210,109,74,110,644,0
107,page-107.png,216304,d7aedccfcf392b8148961d5463145b4447338159a1c69dd7023acddf51f360e4,935,1210,110,175,109,60,0
108,page-108.png,275063,28ddf2aa85353b6d84a683fdda1309d3c8c6d26d5e853215c107768383091a78,935,1210,109,74,109,87,0
109,page-109.png,265936,8767b525da39b5e22df8d55fa5375b413d40507b9f05ce6a2176da3ee48982f8,935,1210,110,74,109,82,0
110,page-110.png,297034,b38c18ef3d76f27fb05d4b6cc8b5b3de361b10ee93b244fef2e4a22f83deeea3,935,1210,110,74,109,87,0
111,page-111.png,250266,82948fc596e2430f6a4d0f4c5d4031ce8cc5c7651d1b1a28c901e25e6128d082,935,1210,110,74,109,81,0
112,page-112.png,310827,8ef87ea0dc432c2528769cb47ef9403760b84d0e2e85ed46d51f2728b3d8757c,935,1210,110,74,109,84,0
113,page-113.png,183824,0f6e7862287b96d70dcd8925c9860dd2bfccc24daa66189d44b2b6e9caa64523,935,1210,110,74,110,338,0
114,page-114.png,5069,a661ea84d1a7854b4f3122f407cfa8848d51cc4c6c1a7a02d489a13a70e2fca4,935,1210,,,,,0
115,page-115.png,250474,1a89be5ad8d544c469711483b75aaf27d23a1b1be8961564588a21c0464b9232,935,1210,110,175,109,61,0
116,page-116.png,327287,7fece2a5e0a42223fc0530d4ec09fec27a7769585e484e4815c0c8d51541aa9e,935,1210,109,74,109,84,0
117,page-117.png,303804,1f0d2fa94b058723b42a07e5c5cca71ee75c2c744150ca164d9f4db55227919d,935,1210,110,74,109,84,0
118,page-118.png,281626,3a5b3de30384c101a1d115efb674f153012ac09515b808818cf48aba2decfe64,935,1210,110,74,109,84,0
119,page-119.png,285572,5de53ae4ef91561e5251e040a153563e6afaba4c464f74396f8850d4159fbdb5,935,1210,109,74,109,84,0
120,page-120.png,314756,1a56c0ea50371008da181bba6068abf68281d8b488b7784b5baa9bd6b2e9f857,935,1210,109,74,109,83,0
121,page-121.png,287445,584387d1d39f43a9e231312d74d8ff5df4c04d49343c8d97704b9fe4d0de8702,935,1210,110,74,109,87,0
122,page-122.png,257453,7417cfdb05350a0aec8568ab7ca8329c7b2670b4d587f9a1e96b347e65c25716,935,1210,109,74,109,84,0
123,page-123.png,294158,4c3eef48ac457ac24cec2c4f6507002868248c4638cf399bddeb2efd05ddcbae,935,1210,109,72,109,83,0
124,page-124.png,113711,12ca2d11a6f80bdbf5b86f93203296f5004b7f1fe359fbbed75352dce314a01a,935,1210,110,74,109,745,0
125,page-125.png,168931,16be96eb69ce16934c5509c3106933727a1e9971863dfa06aa60da2566a38301,935,1210,109,175,110,61,0
126,page-126.png,303161,779d5bac93b8c2f71a3871b4ae769f74e06d031daae4bea02f638aa3481f45c3,935,1210,110,74,109,84,0
127,page-127.png,314403,8cdd6f7e52844fb0dd49ecaa600d28223a3f045b1d2c659af77f0abf575120b2,935,1210,110,74,109,82,0
128,page-128.png,265695,dc0219ddd16b1e2c2c464f1159624bf1dcdc9b2723d95f5492d61eaae508dc6d,935,1210,110,74,110,84,0
129,page-129.png,264177,447bbb76ca8d4d5f87ab0b1857131e4b892606225adfc9b441235fb354481049,935,1210,110,74,110,83,0
130,page-130.png,262778,6a74101a7dd80243163ce3f71681ac6fdcade5cc91665c7825f04d734d95c741,935,1210,109,74,109,83,0
131,page-131.png,253130,8f8fad29cc1c4e3ddf3fff2a214b32c757de536d8c61324c4191cadbe60c07fc,935,1210,110,74,109,84,0
132,page-132.png,248967,0fbab79c4a1b5c786bfdc098c968b7e702f9f6fab8263240fd237269d2753b16,935,1210,110,74,110,83,0
133,page-133.png,232826,05a8da25721e6b6be63ccc679befd7e9c7c0807435d280304da6844f62528bf0,935,1210,110,74,109,84,0
134,page-134.png,262691,e2d6e68bc3f2f61ac8b19b7b7cecc3b6b663ebdafdb86c4ec051c6d9e96a6342,935,1210,110,74,109,87,0
135,page-135.png,237129,7f8c01fdc305c92041084b2434f9dc684e98e9f44790d4751834116cb16a751f,935,1210,110,74,109,139,0
136,page-136.png,5069,a661ea84d1a7854b4f3122f407cfa8848d51cc4c6c1a7a02d489a13a70e2fca4,935,1210,,,,,0
137,page-137.png,223965,a1d719fc435f0c48fadf79a5433c4307b63b7f7c14f9a25406715bf0540dcaf0,935,1210,110,175,109,60,0
138,page-138.png,256741,8dd0fef2da934ecb6928990b4a1308dd90491cabe07f41b9a1a4519cb941ea59,935,1210,110,74,110,84,0
139,page-139.png,254237,739b20e7c1773acf9055ba218a35cb8938dcb8d060df6899c5aa0f1b831bf968,935,1210,110,74,109,87,0
140,page-140.png,286041,8c6691e88190c799bb73c7f8e71b99490f7473c9300021cd0c00226a2157ac60,935,1210,109,74,109,84,0
141,page-141.png,260688,af7f90868a47b03b824caf52c10c34e76a5736f750c9e936ef3b6c2534362545,935,1210,109,74,93,84,0
142,page-142.png,231152,1947a3a08c9aac12d70ff33484e223dc8c5579457497902cc0dfafec713fc311,935,1210,110,74,110,84,0
143,page-143.png,267646,4b42238df46a04bd77ae6b4ab8f38a09ab206e583882e2ded475dd8caeb2b3c9,935,1210,110,74,109,83,0
