page,file,bytes,sha256,width_px,height_px,ink_left_px,ink_top_px,ink_right_px,ink_bottom_px,outer_5px_ink
1,page-001.png,38900,fc08c0d5cbf4af19da252b0d35350f85f89f46f92edb4c372654b604cc62d74b,935,1210,138,123,293,652,0
2,page-002.png,151853,af98784dff8f2abe8b66a9f3314f2cf74b559f730960b00d8183785785198b7d,935,1210,110,134,110,700,0
3,page-003.png,173392,af42ed6014884a09c513042e9d0c0f4503c94cdf97d0ee78b48a28d0a187ebe4,935,1210,110,225,110,61,0
4,page-004.png,187120,8ef78b0899ddfdd37b0e9f17ea8b0423ae33788ff90097785e919a3e7d863194,935,1210,110,74,110,84,0
5,page-005.png,8132,9aa39c8022dde333c3e9f1d8ae5ebd927bea45fbc8c2d895b8cfb4befb509ea4,935,1210,110,74,110,1089,0
6,page-006.png,5069,a661ea84d1a7854b4f3122f407cfa8848d51cc4c6c1a7a02d489a13a70e2fca4,935,1210,,,,,0
7,page-007.png,301900,f3fc5c61b281fbedf0656d8437c837a745bc15a70e25de350247c08d07ff2f81,935,1210,110,175,110,61,0
8,page-008.png,337437,c8334151f7524228771ca82f689459c05965fd4f9661b907904a9891895ea0eb,935,1210,109,74,109,84,0
9,page-009.png,303506,09f4b1ae521fd8db634172a9c1fc7f252105da13ca4db3a3b8a524c586dad05b,935,1210,110,74,109,83,0
10,page-010.png,295720,d3f9ad4882c642e0e9ab1327b6df2d5487009426b4cfef130ad14b5f586fcbaa,935,1210,110,74,109,84,0
11,page-011.png,301316,c8f569533300b34b95fd1bff1b9e59f772966b6a33eec485c57aac6fdec5e9c4,935,1210,110,74,109,84,0
12,page-012.png,276128,f32b9a60bd4d59100d8b30c5d6e3795616abaf4cbc715dfd2bf506e8104d13c5,935,1210,110,74,109,95,0
13,page-013.png,248223,3eec0d0ffebafa6f25fb30eb1d38a5310d93da751c32502b3895f8a07a33f8cd,935,1210,109,74,109,84,0
14,page-014.png,246519,28a9712e0036a33d2976b88a513ef51b02a48c6a04886f17acea1095ca217422,935,1210,110,74,110,84,0
15,page-015.png,252618,39bbede9d78471d27b9fef6ba0862d4e07f56ae2aa154a329d3bfce6c8f52709,935,1210,109,74,109,84,0
16,page-016.png,261700,0e8f9a327d5c846f4b02c5a177aeaf0e442fdc16c9675351895af383333e1216,935,1210,110,74,109,87,0
17,page-017.png,274163,359b891d7abb7b7b404c196240bdf5b46fd89d205ee47db9c8332c37bf893c95,935,1210,110,74,109,87,0
18,page-018.png,257335,5db498307d031609030291d5522324e5cc82d8092a816972d3665119545a6027,935,1210,109,74,109,84,0
19,page-019.png,323751,fd7e84191556103b6b10660f6854ee08ec3dbb1a1ee0b883b2f7202c54dfad23,935,1210,110,74,109,84,0
20,page-020.png,320275,1d952f1f2fecab915d8b169deddbb598f71c3c6718e6d8ca12ebcaa2d6656ce7,935,1210,109,74,109,84,0
21,page-021.png,181816,70efcb543785281c89893e94e8dc0ab0cfaee549cb9fc40d27c9a3aa817493b7,935,1210,109,74,109,456,0
22,page-022.png,5069,a661ea84d1a7854b4f3122f407cfa8848d51cc4c6c1a7a02d489a13a70e2fca4,935,1210,,,,,0
23,page-023.png,279795,c3545bc82c1d6b7b61e591ca00f90fef29e701aeed98d9180cbddc8366ac3f7a,935,1210,110,175,110,60,0
24,page-024.png,325519,b4f09fbbe6c4792fed3e1c1a887d732db3f7e996713b5bc7a32d6ef606337985,935,1210,110,74,110,84,0
25,page-025.png,354119,0d3f18cf7320a9d5278426484b90205dff68758ef1dac8a07ffe2c8fa64e1617,935,1210,110,74,110,84,0
26,page-026.png,337096,4ba38a1c2833b38438989d0e346c02a24627b9e92a7fa0024f3eeab9931eff29,935,1210,109,74,109,84,0
27,page-027.png,328348,c3bdbb515b6e06f82a8d35fa81349ec31d582ad7a307348bb6cba5399d3115c8,935,1210,110,74,110,84,0
28,page-028.png,321529,533095de85bb05b774696d1da5e309d02a41819305b80df715eea4828cd4ff37,935,1210,109,74,110,95,0
