page,file,bytes,sha256,width_px,height_px,ink_left_px,ink_top_px,ink_right_px,ink_bottom_px,outer_5px_ink
1,page-001.png,38996,86f318f09bd296aded313c8f10725b03bbe7b9f86450bf693c81da12c4cf9484,935,1210,138,123,293,652,0
2,page-002.png,152104,312bef9c422d1e629cd86172a4b16e81b0ca21ff93084a2a8aa287649d20b85c,935,1210,110,134,110,700,0
3,page-003.png,173392,af42ed6014884a09c513042e9d0c0f4503c94cdf97d0ee78b48a28d0a187ebe4,935,1210,110,225,110,61,0
4,page-004.png,192777,4068e27dc4a1747fea0bc0d68ed47911e9f6e76d3579e4a13b485d4f78ceac53,935,1210,110,74,110,87,0
5,page-005.png,44065,d7ec19d96ee58a9bcbf2fcb6fb31ccd198bfc4dbba0988fd3f3b0d85c7459ad5,935,1210,110,74,110,875,0
6,page-006.png,5069,a661ea84d1a7854b4f3122f407cfa8848d51cc4c6c1a7a02d489a13a70e2fca4,935,1210,,,,,0
7,page-007.png,301872,84161f80d8038ccb264a077a0ab796bd40894d7d4d4cfd95d23d22c1b0497091,935,1210,110,175,110,61,0
8,page-008.png,337437,c8334151f7524228771ca82f689459c05965fd4f9661b907904a9891895ea0eb,935,1210,109,74,109,84,0
9,page-009.png,303487,e23dc53e64b70a084af489a1c0edaebfe37de417bd80de833e39ae63ed4aa2f4,935,1210,110,74,109,83,0
10,page-010.png,295720,d3f9ad4882c642e0e9ab1327b6df2d5487009426b4cfef130ad14b5f586fcbaa,935,1210,110,74,109,84,0
11,page-011.png,301316,c8f569533300b34b95fd1bff1b9e59f772966b6a33eec485c57aac6fdec5e9c4,935,1210,110,74,109,84,0
12,page-012.png,276128,f32b9a60bd4d59100d8b30c5d6e3795616abaf4cbc715dfd2bf506e8104d13c5,935,1210,110,74,109,95,0
13,page-013.png,248239,032a824a10c4fc35614b7b43390e5cdc0ddbb8fa8f1da62d6e7a014645d5b58f,935,1210,109,74,109,84,0
14,page-014.png,246510,3278da460c1695913b8f90b41905ae59f7fa5c74c353d0803c68838b128dc291,935,1210,110,74,110,84,0
15,page-015.png,252618,39bbede9d78471d27b9fef6ba0862d4e07f56ae2aa154a329d3bfce6c8f52709,935,1210,109,74,109,84,0
16,page-016.png,261700,0e8f9a327d5c846f4b02c5a177aeaf0e442fdc16c9675351895af383333e1216,935,1210,110,74,109,87,0
17,page-017.png,274163,359b891d7abb7b7b404c196240bdf5b46fd89d205ee47db9c8332c37bf893c95,935,1210,110,74,109,87,0
18,page-018.png,257335,5db498307d031609030291d5522324e5cc82d8092a816972d3665119545a6027,935,1210,109,74,109,84,0
19,page-019.png,323751,fd7e84191556103b6b10660f6854ee08ec3dbb1a1ee0b883b2f7202c54dfad23,935,1210,110,74,109,84,0
20,page-020.png,320275,1d952f1f2fecab915d8b169deddbb598f71c3c6718e6d8ca12ebcaa2d6656ce7,935,1210,109,74,109,84,0
21,page-021.png,181677,bfe87f411302f0bf793966a7f35fb2814db1619a1a4e1beebabfc069c3ac992a,935,1210,109,74,109,456,0
22,page-022.png,5069,a661ea84d1a7854b4f3122f407cfa8848d51cc4c6c1a7a02d489a13a70e2fca4,935,1210,,,,,0
23,page-023.png,279943,e809b3daf5c5d0a0fb0f23c8e319cc779a3c505e31c5a13988a6abdf0fa4fe8f,935,1210,110,175,110,60,0
24,page-024.png,325519,b4f09fbbe6c4792fed3e1c1a887d732db3f7e996713b5bc7a32d6ef606337985,935,1210,110,74,110,84,0
25,page-025.png,354072,34af6202edf3f16fdbad4030f48d74204048553d9b75a11ec8bb2cb1ff402dcb,935,1210,110,74,110,84,0
26,page-026.png,337096,4ba38a1c2833b38438989d0e346c02a24627b9e92a7fa0024f3eeab9931eff29,935,1210,109,74,109,84,0
27,page-027.png,328348,c3bdbb515b6e06f82a8d35fa81349ec31d582ad7a307348bb6cba5399d3115c8,935,1210,110,74,110,84,0
28,page-028.png,321529,533095de85bb05b774696d1da5e309d02a41819305b80df715eea4828cd4ff37,935,1210,109,74,110,95,0
29,page-029.png,255478,a45b25d33a7c3ebb96216648826a06534d7d9feb0d07dc3464ecf41a55a8fbd6,935,1210,110,175,110,60,0
30,page-030.png,290435,2ef9bfad0940edcb99aa90958d87d1ac60dc36c6d1e570e7005da2f71b74aa5c,935,1210,110,74,109,84,0
31,page-031.png,317391,e124e6e25631a4659518b9a1690532dbf517065bed627217388bf9676bbb0431,935,1210,110,74,109,84,0
32,page-032.png,300853,4c55107ebbcbdd94156f857a36f2badf289c79609d1421ad3f6a0d6a39a5d220,935,1210,109,74,109,84,0
33,page-033.png,322667,9db258011f0c8424d40deb78cd10446fc669a3f33f55aee509c545bcbcc88a0a,935,1210,110,74,109,84,0
34,page-034.png,312976,1d7ad7ed74fed5f964cf20849137b2148c41be04d200a1270f39dd361c68529e,935,1210,110,74,110,84,0
35,page-035.png,278046,73f63b7b7e59165eb0ccabab9aabcf0601710b2fd1b9bcd4fc12327a0f1f0d36,935,1210,109,74,109,84,0
36,page-036.png,327350,ba1dd263821f1c5a331d30d9f3f02aae72d7d205083d12b252b2aca0b03bb8f7,935,1210,110,74,109,87,0
37,page-037.png,276008,e1b8ea63721d6368e26cb3c609eb99a53be8c39e1bc6e8d4b1b34d7ef61faacd,935,1210,109,74,110,87,0
38,page-038.png,202355,2843c2e79a7945ee5572b953999e906fd41103e53847067b08e38fb7bbcec8c6,935,1210,109,74,109,84,0
39,page-039.png,317191,0dd5e1c87bae842d27894fef79d5892f45f3a0cdfb02383fe7a15f531b5963b6,935,1210,110,74,109,84,0
40,page-040.png,294768,31a9412fdf2d089810626a8e72c23af37a24ac857a52b1059a71752d2c6b3a13,935,1210,109,74,110,84,0
41,page-041.png,265571,982adb5559379ce72cc8f40b62fa01225754b8f0526488a5510725fbe26d730c,935,1210,110,74,109,84,0
42,page-042.png,328521,86f7087cf0b940306a876e0869860de35ac8497495cc437ea5e555b82e4fc7c9,935,1210,110,74,109,84,0
43,page-043.png,308312,078b1164019bf6e6cb1c6ce080b93b85412647dfbe14ff0bbbc389a6251e7eb1,935,1210,109,74,110,84,0
44,page-044.png,280752,e48ce212544e224d3aa536f86cd9eee5460fd1a9ffea120fe39077a374ac773b,935,1210,110,74,109,84,0
45,page-045.png,300332,38efa86ecdef4f7745b7bad36012a958333112f3ec1b2cbd03e23c263ad75c4f,935,1210,109,74,110,84,0
46,page-046.png,283369,cbf9659188d569bea7542afbe456d8eb2e5ed722fa8ceacf04b9aef92e9a1e48,935,1210,110,74,109,84,0
47,page-047.png,320969,fcab494ab5aca70289bdd8d8fab77ec118491df84524f39aa7c0e5f5f8dbf972,935,1210,109,74,109,84,0
48,page-048.png,355392,2b4e84b80fc3637640de803b0e637bfc1f948bdbb161b83f00aa71e2c81c5df5,935,1210,110,74,109,84,0
49,page-049.png,231250,143c41743f5f373ce4d3eb87ef4c961633f5d3db133ad831c1555921e2ad355b,935,1210,110,74,109,328,0
50,page-050.png,5069,a661ea84d1a7854b4f3122f407cfa8848d51cc4c6c1a7a02d489a13a70e2fca4,935,1210,,,,,0
51,page-051.png,269041,1da0ab66d92ca849ce21aefd07eda7934168202296df8198f5f2d57ade2e6448,935,1210,109,175,109,60,0
52,page-052.png,259865,bfb8e8e0c33b625ac43571d430f4304766265d3a1bb9b7cbde9fbbe9e2344666,935,1210,109,74,110,83,0
53,page-053.png,257716,773f410aba3bdd871cafa8f9247a78dd18cfed7ad086db3ff713ad305760db94,935,1210,109,74,109,84,0
54,page-054.png,286922,be7f8d85d923f44dfe7519cc93301beeff136050c80e9693efb3b19b6dfeedcd,935,1210,110,74,109,87,0
55,page-055.png,243037,06e7850d3b54fa3ca8f1b578412521fd23f3d2f58bec196ab8e5aa9d8ac0861d,935,1210,110,74,109,83,0
56,page-056.png,281334,6de3ce95145ca5a2116ba6d1976ec7c3135c6c189332477f416b3491136c3b56,935,1210,109,74,109,84,0
57,page-057.png,272181,562598f39fe0e29dbddaa937243c07f3a23af416db9da45a79d340294cc90c38,935,1210,110,74,109,81,0
58,page-058.png,308109,8c6acc47a624e343055f6e00c3782b843448c2bf04663820155c7040f3359854,935,1210,110,74,109,84,0
59,page-059.png,296143,31412a012f949bb79ea2f768d3cfa03035e8d10691a712a4ddc9b8117f814662,935,1210,109,72,109,84,0
60,page-060.png,284476,94911b5a8df73b45207126c1ca9be78542ae0f4cea418419b343dd05734a4bc1,935,1210,109,74,109,84,0
61,page-061.png,307409,0b8b7dbdeabe3810a43ecec1075b60768f72a47b2dffa3c6956ace75613c53ce,935,1210,109,74,110,84,0
62,page-062.png,234063,f6a34194c5e8fdae3571c2ec7a65446707725956c346c1bef4c3845f58ff06ef,935,1210,110,74,109,84,0
63,page-063.png,240706,720d8a611a030f9da59a8a77b30dc40e18b3ff57d1d5fe6dc44877f85c26764f,935,1210,110,74,110,84,0
64,page-064.png,237552,72326444a0548bf9df48fa74d45dced0ac7290f866670eacdbe51114f1288bc4,935,1210,110,74,110,84,0
65,page-065.png,240702,ac27e2848bb690cb5cdbe3961a2d8092316c9b4da966ff2252dd6cdf377df29b,935,1210,110,74,110,84,0
