page,file,bytes,sha256,width_px,height_px,ink_pixels_lt245,ink_fraction,ink_bbox,margins_px,edge_ink_pixels_5px
1,page-001.png,51110,8a73963d18bc64d07d724b334cbcf817f3a6d05546bb6df0514a1afe6ceecb76,1275,1650,20664,0.00982246,"[188,168,875,762]","{""left"":188,""top"":168,""right"":400,""bottom"":888}",0
2,page-002.png,188328,7e8a4487ebfd3ee1b0aed5547fb93c69bde79bf8e4bdf07f914f7a56781d9d56,1275,1650,78439,0.03728532,"[150,184,1125,641]","{""left"":150,""top"":184,""right"":150,""bottom"":1009}",0
3,page-003.png,248102,3d8ea200720d844ce55b732bf0a13a3757cdbda4e2ad0ab24ad1c760ce0e2fb2,1275,1650,77582,0.03687796,"[150,308,1125,1568]","{""left"":150,""top"":308,""right"":150,""bottom"":82}",0
4,page-004.png,23249,8f555eaa4218d00728d13adcb8e4963b713218db2529d00baf4a6dab57d0dfe6,1275,1650,4027,0.0019142,"[150,102,1125,252]","{""left"":150,""top"":102,""right"":150,""bottom"":1398}",0
5,page-005.png,404787,07630baebe8c54c939b2975c47b5c1e1968cd1d48075380b1d2e3ecb1062cdce,1275,1650,189805,0.09022222,"[150,238,1125,1568]","{""left"":150,""top"":238,""right"":150,""bottom"":82}",0
6,page-006.png,464386,1431f2e2f6b81b36033ab67a793bda28cbf9eb9ccbf5957e741a2f1ca2ffa152,1275,1650,188576,0.08963803,"[149,102,1126,1536]","{""left"":149,""top"":102,""right"":149,""bottom"":114}",0
7,page-007.png,428774,56c62688d699996e77a7bf1e1749b7bd02b6949acc4c4f5fbf62365561397328,1275,1650,169372,0.08050957,"[150,102,1126,1536]","{""left"":150,""top"":102,""right"":149,""bottom"":114}",0
8,page-008.png,411067,dfe5cf2ae16a2a2df57d1aa3c5816833d878004c306b141431cea9b44320195b,1275,1650,157250,0.07474747,"[150,102,1127,1536]","{""left"":150,""top"":102,""right"":148,""bottom"":114}",0
9,page-009.png,418234,8ea87fef4eb7edeb446c4de6112f887698b7a09f4f989f9aca792cd26388ffc8,1275,1650,162280,0.07713844,"[150,102,1126,1535]","{""left"":150,""top"":102,""right"":149,""bottom"":115}",0
10,page-010.png,376254,17e6d178115a6d3f4094aa2dc88cab30e10d5b98f746d96d49f190a2c7478ef1,1275,1650,153013,0.07273345,"[150,102,1127,1520]","{""left"":150,""top"":102,""right"":148,""bottom"":130}",0
11,page-011.png,340929,88d0a15249a12dffbce371904dc8d35fb085dcda5f5ad35620b006c32f861eb6,1275,1650,136572,0.06491836,"[149,102,1126,1535]","{""left"":149,""top"":102,""right"":149,""bottom"":115}",0
12,page-012.png,342718,ae79b54efeee18ff0550bdf44253e90102683d3162be88b3a2c09ffb5beecea6,1275,1650,131595,0.06255258,"[150,102,1125,1535]","{""left"":150,""top"":102,""right"":150,""bottom"":115}",0
13,page-013.png,354036,172405b0e23ad295629b8cf2305cd42e6fb11d4759d7441f68a01743ae20e332,1275,1650,136850,0.06505051,"[148,102,1126,1535]","{""left"":148,""top"":102,""right"":149,""bottom"":115}",0
14,page-014.png,363458,f614c2d07521f6b52d26c9152779d216ae567b5373ec5ec117081a53580a9f3c,1275,1650,136309,0.06479335,"[150,102,1126,1531]","{""left"":150,""top"":102,""right"":149,""bottom"":119}",0
15,page-015.png,376176,551fc18000717f4ec3f40186504ef74e014b5c65ebee2e6b427d153131ec2015,1275,1650,151312,0.0719249,"[150,102,1126,1531]","{""left"":150,""top"":102,""right"":149,""bottom"":119}",0
16,page-016.png,356192,f2890bd18b8540142425b4f9bb37381d0699fb611056fb66bb711b824bb7c063,1275,1650,144562,0.06871634,"[149,102,1126,1535]","{""left"":149,""top"":102,""right"":149,""bottom"":115}",0
17,page-017.png,450325,b829119196b3c428b03974ce445649c531af78b39abd4ef92fca20efac7146f9,1275,1650,180232,0.08567178,"[150,102,1126,1536]","{""left"":150,""top"":102,""right"":149,""bottom"":114}",0
18,page-018.png,441716,66d8fcfdc1f9b870850228eb21e7f390ff78c315a4afd159e627f1a1db1ece3c,1275,1650,176537,0.08391539,"[148,102,1127,1537]","{""left"":148,""top"":102,""right"":148,""bottom"":113}",0
19,page-019.png,253820,590d8527f1845957f819aed9b5c9b915e72655c595d8db98d0782df3eccb8a8b,1275,1650,104368,0.04961046,"[149,102,1126,1029]","{""left"":149,""top"":102,""right"":149,""bottom"":621}",0
20,page-020.png,8532,f1e68604581dc8816bc8b13a095814d71e910c6a37fd76c96384a8373cca6e95,1275,1650,0,0.0,null,null,0
21,page-021.png,381666,2c78019a9e64fd242a4d71a2d1311872c658b7f99b68b08767b29b2bf1b78e69,1275,1650,180522,0.08580963,"[150,238,1125,1569]","{""left"":150,""top"":238,""right"":150,""bottom"":81}",0
22,page-022.png,451924,6cbfc8ab55624d8187083f057e7887146072a265409cd24aad1c1a2e52d35288,1275,1650,182493,0.08674652,"[150,102,1125,1536]","{""left"":150,""top"":102,""right"":150,""bottom"":114}",0
23,page-023.png,478738,a3585d310d0630220f097895e6468cbe7867980b6906675d95c503e68ed8f822,1275,1650,206512,0.09816376,"[150,102,1125,1536]","{""left"":150,""top"":102,""right"":150,""bottom"":114}",0
24,page-024.png,460255,2e4f157815d40ff68e41d9ba7275b876c46ac3093609769ccc56d29fa739541c,1275,1650,196910,0.09359952,"[149,102,1126,1535]","{""left"":149,""top"":102,""right"":149,""bottom"":115}",0
25,page-025.png,450943,dd645dbf80c7f1b6ffa2ec839440b60362d89d38318539cc8851c6736869aba4,1275,1650,196656,0.09347879,"[150,102,1125,1535]","{""left"":150,""top"":102,""right"":150,""bottom"":115}",0
26,page-026.png,447495,e2a796b15c89ccf02f2d577ebceaa3e1563533727c9423051ba9e92110dd0d16,1275,1650,189857,0.09024694,"[149,102,1125,1521]","{""left"":149,""top"":102,""right"":150,""bottom"":129}",0
27,page-027.png,355625,e38900347d49ea3599d30294eae5957446e780305211db4ae11dd556ef8bdacf,1275,1650,148596,0.07063387,"[150,238,1125,1569]","{""left"":150,""top"":238,""right"":150,""bottom"":81}",0
28,page-028.png,408084,d6fc792920868ba5c4028dc1abc7cdb0742d33576ceab1fad6fc278fb4e729f1,1275,1650,161089,0.07657231,"[150,102,1126,1535]","{""left"":150,""top"":102,""right"":149,""bottom"":115}",0
29,page-029.png,440004,ed07707ae4c10b4a8bbf5a1dfe843018ab606d848019212ee517aef86c2ba9f8,1275,1650,173933,0.0826776,"[150,102,1126,1535]","{""left"":150,""top"":102,""right"":149,""bottom"":115}",0
30,page-030.png,421951,503a844fcefba55b3b8e5a21676cbd0ef40baac08e85d1b47f991c19bad14b27,1275,1650,172494,0.08199358,"[149,102,1127,1535]","{""left"":149,""top"":102,""right"":148,""bottom"":115}",0
31,page-031.png,447232,de80e2ad22587d69a6a1a7af409924b6195e8071d0157aefc28c1c9a99a16abf,1275,1650,189571,0.09011099,"[150,102,1126,1535]","{""left"":150,""top"":102,""right"":149,""bottom"":115}",0
32,page-032.png,429945,c75ca3e92bc28ccd614f56f1c2cc0702b83077ac4740c67fe3ef39a36f57c7bf,1275,1650,182985,0.08698039,"[150,102,1125,1536]","{""left"":150,""top"":102,""right"":150,""bottom"":114}",0
