page,file,bytes,sha256,width_px,height_px,ink_pixels_lt245,ink_fraction,ink_bbox,margins_px,edge_ink_pixels_5px
1,page-001.png,51108,12518bb7219b7df8dd50ce333cd5d4be5c3d864489fb13901840274c766f1294,1275,1650,20664,0.00982246,"[188,168,875,762]","{""left"":188,""top"":168,""right"":400,""bottom"":888}",0
2,page-002.png,188361,37c85fc898cdb2266a5324ef5c2131a6fcb5b9a5011da8506edfc0d6a6f9e797,1275,1650,78428,0.0372801,"[150,184,1125,641]","{""left"":150,""top"":184,""right"":150,""bottom"":1009}",0
3,page-003.png,248102,3d8ea200720d844ce55b732bf0a13a3757cdbda4e2ad0ab24ad1c760ce0e2fb2,1275,1650,77582,0.03687796,"[150,308,1125,1568]","{""left"":150,""top"":308,""right"":150,""bottom"":82}",0
4,page-004.png,108499,2e8388f5e28b2c1f1312e89faebf3667caa23c32c25c1e5d546665caf6185259,1275,1650,30861,0.01466952,"[150,102,1125,706]","{""left"":150,""top"":102,""right"":150,""bottom"":944}",0
5,page-005.png,404785,a30af49aeccb41ecd5c1dc02b0e02da6fef05958da8f296ff6d0caa1665f9621,1275,1650,189808,0.09022365,"[150,238,1125,1568]","{""left"":150,""top"":238,""right"":150,""bottom"":82}",0
6,page-006.png,464386,1431f2e2f6b81b36033ab67a793bda28cbf9eb9ccbf5957e741a2f1ca2ffa152,1275,1650,188576,0.08963803,"[149,102,1126,1536]","{""left"":149,""top"":102,""right"":149,""bottom"":114}",0
7,page-007.png,428731,5262b1d1f939ab73b5c4aa664f9ab623f88a9f28566a0fa2efd6e1cfaa8e7e93,1275,1650,169372,0.08050957,"[150,102,1126,1536]","{""left"":150,""top"":102,""right"":149,""bottom"":114}",0
8,page-008.png,411067,dfe5cf2ae16a2a2df57d1aa3c5816833d878004c306b141431cea9b44320195b,1275,1650,157250,0.07474747,"[150,102,1127,1536]","{""left"":150,""top"":102,""right"":148,""bottom"":114}",0
9,page-009.png,418234,8ea87fef4eb7edeb446c4de6112f887698b7a09f4f989f9aca792cd26388ffc8,1275,1650,162280,0.07713844,"[150,102,1126,1535]","{""left"":150,""top"":102,""right"":149,""bottom"":115}",0
10,page-010.png,376254,17e6d178115a6d3f4094aa2dc88cab30e10d5b98f746d96d49f190a2c7478ef1,1275,1650,153013,0.07273345,"[150,102,1127,1520]","{""left"":150,""top"":102,""right"":148,""bottom"":130}",0
11,page-011.png,341067,6d0f75b828ca9684a3edc7e635ef5e344b392cc4fb364c96f4f2df162df5aa11,1275,1650,136597,0.06493024,"[149,102,1126,1535]","{""left"":149,""top"":102,""right"":149,""bottom"":115}",0
12,page-012.png,342941,35a5e61104b5568bdc1bba2342c4859e7d8fa05b8338a61f977e969a3ddfa18d,1275,1650,131617,0.06256304,"[150,102,1125,1535]","{""left"":150,""top"":102,""right"":150,""bottom"":115}",0
13,page-013.png,354036,172405b0e23ad295629b8cf2305cd42e6fb11d4759d7441f68a01743ae20e332,1275,1650,136850,0.06505051,"[148,102,1126,1535]","{""left"":148,""top"":102,""right"":149,""bottom"":115}",0
14,page-014.png,363458,f614c2d07521f6b52d26c9152779d216ae567b5373ec5ec117081a53580a9f3c,1275,1650,136309,0.06479335,"[150,102,1126,1531]","{""left"":150,""top"":102,""right"":149,""bottom"":119}",0
15,page-015.png,376176,551fc18000717f4ec3f40186504ef74e014b5c65ebee2e6b427d153131ec2015,1275,1650,151312,0.0719249,"[150,102,1126,1531]","{""left"":150,""top"":102,""right"":149,""bottom"":119}",0
16,page-016.png,356192,f2890bd18b8540142425b4f9bb37381d0699fb611056fb66bb711b824bb7c063,1275,1650,144562,0.06871634,"[149,102,1126,1535]","{""left"":149,""top"":102,""right"":149,""bottom"":115}",0
17,page-017.png,450325,b829119196b3c428b03974ce445649c531af78b39abd4ef92fca20efac7146f9,1275,1650,180232,0.08567178,"[150,102,1126,1536]","{""left"":150,""top"":102,""right"":149,""bottom"":114}",0
18,page-018.png,441716,66d8fcfdc1f9b870850228eb21e7f390ff78c315a4afd159e627f1a1db1ece3c,1275,1650,176537,0.08391539,"[148,102,1127,1537]","{""left"":148,""top"":102,""right"":148,""bottom"":113}",0
19,page-019.png,253998,f568e3b2ff7a87b64c67a61b8b38261dd2bed8862e6e6798dc3e25833b1aa613,1275,1650,104377,0.04961474,"[149,102,1126,1029]","{""left"":149,""top"":102,""right"":149,""bottom"":621}",0
20,page-020.png,8532,f1e68604581dc8816bc8b13a095814d71e910c6a37fd76c96384a8373cca6e95,1275,1650,0,0.0,null,null,0
21,page-021.png,382251,80ffe3eab92c92bfd2cc2bcde31c6595cc19f756c2097e6ffd5f200af9315fab,1275,1650,180572,0.08583339,"[150,238,1125,1569]","{""left"":150,""top"":238,""right"":150,""bottom"":81}",0
22,page-022.png,451924,6cbfc8ab55624d8187083f057e7887146072a265409cd24aad1c1a2e52d35288,1275,1650,182493,0.08674652,"[150,102,1125,1536]","{""left"":150,""top"":102,""right"":150,""bottom"":114}",0
23,page-023.png,478670,4999b8d21aa4ee3feca9825c5bbf4d589fc607f6c5695efd222d576097055f91,1275,1650,206495,0.09815567,"[150,102,1125,1536]","{""left"":150,""top"":102,""right"":150,""bottom"":114}",0
24,page-024.png,460255,2e4f157815d40ff68e41d9ba7275b876c46ac3093609769ccc56d29fa739541c,1275,1650,196910,0.09359952,"[149,102,1126,1535]","{""left"":149,""top"":102,""right"":149,""bottom"":115}",0
25,page-025.png,450943,dd645dbf80c7f1b6ffa2ec839440b60362d89d38318539cc8851c6736869aba4,1275,1650,196656,0.09347879,"[150,102,1125,1535]","{""left"":150,""top"":102,""right"":150,""bottom"":115}",0
