page,file,bytes,sha256,width_px,height_px,ink_pixels_lt245,ink_fraction,ink_bbox,margins_px,edge_ink_pixels_5px
1,page-001.png,51183,eaae192bc61989b60f23658caf0c0e08a2296da73f1a8956a5723758a327ad2c,1275,1650,20729,0.00985336,"[188,168,875,762]","{""left"":188,""top"":168,""right"":400,""bottom"":888}",0
2,page-002.png,188392,d67fca2eea19ae26f19acd095d03ff322c72ac3f3861d959ee765bdd9b2c6721,1275,1650,78649,0.03738515,"[150,184,1125,641]","{""left"":150,""top"":184,""right"":150,""bottom"":1009}",0
3,page-003.png,248102,3d8ea200720d844ce55b732bf0a13a3757cdbda4e2ad0ab24ad1c760ce0e2fb2,1275,1650,77582,0.03687796,"[150,308,1125,1568]","{""left"":150,""top"":308,""right"":150,""bottom"":82}",0
4,page-004.png,142972,016d982a2f3f350157e3260a44af0dcb8f48aa3d6631cd60371068b470d1e432,1275,1650,41694,0.01981889,"[150,102,1125,912]","{""left"":150,""top"":102,""right"":150,""bottom"":738}",0
5,page-005.png,404775,def4649d50e6f6c320498a8283ae7a930b091728f0490a447abbd7c06af13b27,1275,1650,189806,0.0902227,"[150,238,1125,1568]","{""left"":150,""top"":238,""right"":150,""bottom"":82}",0
6,page-006.png,464386,1431f2e2f6b81b36033ab67a793bda28cbf9eb9ccbf5957e741a2f1ca2ffa152,1275,1650,188576,0.08963803,"[149,102,1126,1536]","{""left"":149,""top"":102,""right"":149,""bottom"":114}",0
7,page-007.png,428816,7a6f91596fd857a54ada123c4adf76c00ebb89e2525625c9fbc4bc25df6d3690,1275,1650,169370,0.08050862,"[150,102,1126,1536]","{""left"":150,""top"":102,""right"":149,""bottom"":114}",0
8,page-008.png,411067,dfe5cf2ae16a2a2df57d1aa3c5816833d878004c306b141431cea9b44320195b,1275,1650,157250,0.07474747,"[150,102,1127,1536]","{""left"":150,""top"":102,""right"":148,""bottom"":114}",0
9,page-009.png,418234,8ea87fef4eb7edeb446c4de6112f887698b7a09f4f989f9aca792cd26388ffc8,1275,1650,162280,0.07713844,"[150,102,1126,1535]","{""left"":150,""top"":102,""right"":149,""bottom"":115}",0
10,page-010.png,376254,17e6d178115a6d3f4094aa2dc88cab30e10d5b98f746d96d49f190a2c7478ef1,1275,1650,153013,0.07273345,"[150,102,1127,1520]","{""left"":150,""top"":102,""right"":148,""bottom"":130}",0
11,page-011.png,341063,9b47c9d0a5db4b0f94fb85bf97b6f0c51428fa67611675c65770404b9c60197a,1275,1650,136595,0.06492929,"[149,102,1126,1535]","{""left"":149,""top"":102,""right"":149,""bottom"":115}",0
12,page-012.png,342936,8854c47a423e93aefc892d8d52b919892c381d5f0f4342be4e321590b71095ad,1275,1650,131618,0.06256352,"[150,102,1125,1535]","{""left"":150,""top"":102,""right"":150,""bottom"":115}",0
13,page-013.png,354036,172405b0e23ad295629b8cf2305cd42e6fb11d4759d7441f68a01743ae20e332,1275,1650,136850,0.06505051,"[148,102,1126,1535]","{""left"":148,""top"":102,""right"":149,""bottom"":115}",0
