page,file,bytes,sha256,width_px,height_px,ink_pixels_lt245,ink_fraction,ink_bbox,margins_px,edge_ink_pixels_5px
1,page-001.png,38795,400de78b9cf5b926d6021987590a5455197fec58e1db9d25762e9a491658460c,935,1210,12625,0.011159234542802847,"[138,123,641,557]","{""left"":138,""top"":123,""right"":293,""bottom"":652}",0
2,page-002.png,151612,1b5b6882c2338535909f0ba53bf4d4f7d19f5a6121d1145018964d954974611e,935,1210,56884,0.05027975427586512,"[110,134,824,509]","{""left"":110,""top"":134,""right"":110,""bottom"":700}",0
3,page-003.png,173392,af42ed6014884a09c513042e9d0c0f4503c94cdf97d0ee78b48a28d0a187ebe4,935,1210,49600,0.04384142838202148,"[110,225,824,1148]","{""left"":110,""top"":225,""right"":110,""bottom"":61}",0
4,page-004.png,125443,a820c52d9c088cd3587a2fd90134962921346dbcf917d8512ccc18875d28a252,935,1210,33962,0.03001900384496398,"[110,74,824,799]","{""left"":110,""top"":74,""right"":110,""bottom"":410}",0
5,page-005.png,301653,43cf65f653878601609846b4d9bfa17b1b02e68e7cdc4aa62a5a2bc7f73eab18,935,1210,124691,0.11021434569319839,"[110,175,824,1148]","{""left"":110,""top"":175,""right"":110,""bottom"":61}",0
6,page-006.png,337437,c8334151f7524228771ca82f689459c05965fd4f9661b907904a9891895ea0eb,935,1210,124807,0.11031687806602732,"[109,74,825,1125]","{""left"":109,""top"":74,""right"":109,""bottom"":84}",0
7,page-007.png,303291,8a7e84967b31ce0b632c2b482b60300872b1ec01cd6d3f2feedf8b51f3f984ec,935,1210,111635,0.09867415035135016,"[110,74,825,1126]","{""left"":110,""top"":74,""right"":109,""bottom"":83}",0
8,page-008.png,295720,d3f9ad4882c642e0e9ab1327b6df2d5487009426b4cfef130ad14b5f586fcbaa,935,1210,103275,0.0912847483095417,"[110,74,825,1125]","{""left"":110,""top"":74,""right"":109,""bottom"":84}",0
9,page-009.png,301316,c8f569533300b34b95fd1bff1b9e59f772966b6a33eec485c57aac6fdec5e9c4,935,1210,107218,0.09476996508595925,"[110,74,825,1125]","{""left"":110,""top"":74,""right"":109,""bottom"":84}",0
10,page-010.png,276128,f32b9a60bd4d59100d8b30c5d6e3795616abaf4cbc715dfd2bf506e8104d13c5,935,1210,100454,0.08879126707031422,"[110,74,825,1114]","{""left"":110,""top"":74,""right"":109,""bottom"":95}",0
11,page-011.png,248094,c78235386b65811da5db1483f8126af5efd231f6b211168696043e1cbd075c55,935,1210,90105,0.07964378839439608,"[109,74,825,1125]","{""left"":109,""top"":74,""right"":109,""bottom"":84}",0
